"TIPO_EVENTO","DEPARTAMENTO","CODIGO_DANE_DEPARTAMENTO","MUNICIPIO","CODIGO_DANE_MUNICIPIO","AÑO","MES","EVENTO","TIPO_LUGAR","TIPO_AREA","LATITUD_CABECERA","LONGITUD_CABECERA","SITIO","UBICACION"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,009","9","Incidente","Sin informacion","Rural","6.608333","-71.127778","La Galaxia","POINT (-71.127778 6.608333)"
"Desminado militar en operaciones","META","50","VISTAHERMOSA","50,711","2,009","9","Incidente","Sin informacion","Rural","2.677778","-73.715833","El Avion Caido","POINT (-73.715833 2.677778)"
"Desminado militar en operaciones","BOLIVAR","13","CANTAGALLO","13,160","2,009","8","Incidente","Sin informacion","Rural","7.253333","-74.116389","Las Lejanias","POINT (-74.116389 7.253333)"
"Desminado militar en operaciones","ANTIOQUIA","5","TARAZÁ","5,790","2,009","9","Incidente","Sin informacion","Rural","7.319167","-75.261111","Las Doradas","POINT (-75.261111 7.319167)"
"Desminado militar en operaciones","META","50","PUERTO RICO","50,590","2,009","9","Incidente","Sin informacion","Rural","2.685833","-73.135556","La Esperanza","POINT (-73.135556 2.685833)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,009","8","Incidente","Sin informacion","Rural","6.613889","-71.238056","El Claro","POINT (-71.238056 6.613889)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,009","8","Incidente","Sin informacion","Rural","7.023186","-71.384978","La Vereda Santa Isabel","POINT (-71.384978 7.023186)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,009","6","Incidente","Sin informacion","Rural","6.661111","-71.194444","Las Filipinas","POINT (-71.194444 6.661111)"
"Desminado militar en operaciones","CAQUETA","18","FLORENCIA","18,001","2,011","6","Incidente","Sin informacion","Rural","1.846667","-75.516667","Vereda Año Nuevo","POINT (-75.516667 1.846667)"
"Desminado militar en operaciones","META","50","LEJANÍAS","50,400","2,011","6","Incidente","Sin informacion","Rural","3.545","-74.077778","Vereda La Cabaña","POINT (-74.077778 3.545)"
"Desminado militar en operaciones","CAUCA","19","PURACÉ","19,585","2,011","6","Incidente","Sin informacion","Rural","2.238611","-76.496111","Sector La Antena","POINT (-76.496111 2.238611)"
"Desminado militar en operaciones","TOLIMA","73","PLANADAS","73,555","2,011","6","Incidente","Sin informacion","Rural","2.980556","-75.8475","Vereda Lejanias","POINT (-75.8475 2.980556)"
"Desminado militar en operaciones","CAQUETA","18","FLORENCIA","18,001","2,011","6","Incidente","Sin informacion","Rural","1.81","-75.443333","Vereda Vista Hermosa","POINT (-75.443333 1.81)"
"Desminado militar en operaciones","NORTE DE SANTANDER","54","CONVENCIÓN","54,206","2,011","6","Incidente","Sin informacion","Rural","8.701389","-73.295","La Libertad","POINT (-73.295 8.701389)"
"Desminado militar en operaciones","CORDOBA","23","PUERTO LIBERTADOR","23,580","2,011","6","Incidente","Sin informacion","Rural","7.458333","-75.8375","Sur Oriente El Mandarino","POINT (-75.8375 7.458333)"
"Desminado militar en operaciones","BOLIVAR","13","SAN PABLO","13,670","2,011","6","Incidente","Sin informacion","Rural","7.455","-74.230556","Serrania Santo Domingo","POINT (-74.230556 7.455)"
"Desminado militar en operaciones","ANTIOQUIA","5","GUADALUPE","5,315","2,011","6","Incidente","Sin informacion","Rural","6.878889","-75.226111","San Bacilio","POINT (-75.226111 6.878889)"
"Desminado militar en operaciones","CAQUETA","18","SOLANO","18,756","2,011","6","Incidente","Sin informacion","Rural","1.029167","-75.120833","Vereda El Jardin","POINT (-75.120833 1.029167)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,011","6","Incidente","Sin informacion","Rural","6.584444","-71.166667","Vereda Galaxias","POINT (-71.166667 6.584444)"
"Desminado militar en operaciones","CORDOBA","23","PUERTO LIBERTADOR","23,580","2,011","5","Incidente","Sin informacion","Rural","7.487778","-75.821111","Vereda La Esmeralda","POINT (-75.821111 7.487778)"
"Desminado militar en operaciones","CORDOBA","23","PUERTO LIBERTADOR","23,580","2,011","5","Incidente","Sin informacion","Rural","7.601389","-75.904","Quebrada La Danta","POINT (-75.904 7.601389)"
"Desminado militar en operaciones","ANTIOQUIA","5","ANORÍ","5,040","2,011","5","Incidente","Sin informacion","Rural","7.057778","-75.152222","Via Que Conduce Anori Base El Limon","POINT (-75.152222 7.057778)"
"Desminado militar en operaciones","ANTIOQUIA","5","SAN FRANCISCO","5,652","2,011","5","Incidente","Sin informacion","Rural","5.919167","-75.062222","Vereda Jardin","POINT (-75.062222 5.919167)"
"Desminado militar en operaciones","CORDOBA","23","TIERRALTA","23,807","2,011","5","Incidente","Sin informacion","Rural","7.841667","-76.008333","Santa Isabel","POINT (-76.008333 7.841667)"
"Desminado militar en operaciones","TOLIMA","73","PLANADAS","73,555","2,011","5","Incidente","Sin informacion","Rural","3.020833","-75.759444","Vereda San Miguel","POINT (-75.759444 3.020833)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,011","5","Incidente","Sin informacion","Rural","2.954444","-74.098611","Vereda Fronteras","POINT (-74.098611 2.954444)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,011","4","Incidente","Sin informacion","Rural","2.940833","-74.120278","Vereda Santa Helena","POINT (-74.120278 2.940833)"
"Desminado militar en operaciones","HUILA","41","ALGECIRAS","41,020","2,011","4","Incidente","Sin informacion","Rural","2.478056","-75.355556","Quebradon Sur","POINT (-75.355556 2.478056)"
"Sospecha de campo minado","ANTIOQUIA","5","GUATAPÉ","5,321","2,009","12","Incidente","Sin informacion","Rural","6.214998","-75.144238","La Caldera","POINT (-75.144238 6.214998)"
"Sospecha de campo minado","ANTIOQUIA","5","SONSÓN","5,756","2,010","6","Incidente","Sin informacion","Rural","5.836216","-75.196339","Quebrada Santana-La Divisa","POINT (-75.196339 5.836216)"
"Sospecha de campo minado","BOLIVAR","13","EL CARMEN DE BOLÍVAR","13,244","2,009","12","Incidente","Sin informacion","Rural","9.73158","-75.05918","Finca En La Vereda La Negra","POINT (-75.05918 9.73158)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,011","4","Incidente","Sin informacion","Rural","3.0325","-74.140556","San Isidro","POINT (-74.140556 3.0325)"
"Desminado militar en operaciones","ARAUCA","81","ARAUQUITA","81,065","2,011","3","Incidente","Sin informacion","Rural","6.6475","-71.18","Las Cuivas","POINT (-71.18 6.6475)"
"Desminado militar en operaciones","META","50","MESETAS","50,330","2,011","3","Incidente","Sin informacion","Rural","2.922778","-74.068333","Filo Marrano","POINT (-74.068333 2.922778)"
"Desminado militar en operaciones","CAQUETA","18","MONTAÑITA","18,410","2,011","3","Incidente","Sin informacion","Rural","1.288056","-75.210833","La Argelia","POINT (-75.210833 1.288056)"
"Desminado militar en operaciones","META","50","VISTAHERMOSA","50,711","2,011","3","Incidente","Sin informacion","Rural","3.195278","-73.884167","La Vereda Costarica","POINT (-73.884167 3.195278)"
"Desminado militar en operaciones","CORDOBA","23","TIERRALTA","23,807","2,011","3","Incidente","Sin informacion","Rural","7.899167","-76.190278","La Vereda El Guamo","POINT (-76.190278 7.899167)"
